STATISTIC Label,Year,Type of Journey,UNIT,VALUE
Passenger Journeys by Rail (Thousand),2000,DART,Number,
Passenger Journeys by Rail (Thousand),2000,International journeys,Number,
Passenger Journeys by Rail (Thousand),2001,All journeys,Number,34206
Passenger Journeys by Rail (Thousand),2001,Mainline and other services,Number,10833
Passenger Journeys by Rail (Thousand),2001,Dublin suburban services,Number,23373
Passenger Journeys by Rail (Thousand),2001,DART,Number,
Passenger Journeys by Rail (Thousand),2001,International journeys,Number,
Passenger Journeys by Rail (Thousand),2002,All journeys,Number,35370
Passenger Journeys by Rail (Thousand),2002,Mainline and other services,Number,10438
Passenger Journeys by Rail (Thousand),2002,Dublin suburban services,Number,24120
Passenger Journeys by Rail (Thousand),2002,DART,Number,
Passenger Journeys by Rail (Thousand),2002,International journeys,Number,812
Passenger Journeys by Rail (Thousand),2003,All journeys,Number,35558
Passenger Journeys by Rail (Thousand),2003,Mainline and other services,Number,10406
Passenger Journeys by Rail (Thousand),2003,Dublin suburban services,Number,24302
Passenger Journeys by Rail (Thousand),2003,DART,Number,
Passenger Journeys by Rail (Thousand),2003,International journeys,Number,850
Passenger Journeys by Rail (Thousand),2004,All journeys,Number,34550
Passenger Journeys by Rail (Thousand),2004,Mainline and other services,Number,10511
Passenger Journeys by Rail (Thousand),2004,Dublin suburban services,Number,23240
Passenger Journeys by Rail (Thousand),2004,DART,Number,
Passenger Journeys by Rail (Thousand),2004,International journeys,Number,799
Passenger Journeys by Rail (Thousand),2005,All journeys,Number,37655
Passenger Journeys by Rail (Thousand),2005,Mainline and other services,Number,11068
Passenger Journeys by Rail (Thousand),2005,Dublin suburban services,Number,9556
Passenger Journeys by Rail (Thousand),2005,DART,Number,16256
Passenger Journeys by Rail (Thousand),2005,International journeys,Number,775
Passenger Journeys by Rail (Thousand),2006,All journeys,Number,43352
Passenger Journeys by Rail (Thousand),2006,Mainline and other services,Number,8917
Passenger Journeys by Rail (Thousand),2006,Dublin suburban services,Number,13862
Passenger Journeys by Rail (Thousand),2006,DART,Number,19689
Passenger Journeys by Rail (Thousand),2006,International journeys,Number,884
Passenger Journeys by Rail (Thousand),2007,All journeys,Number,45511
Passenger Journeys by Rail (Thousand),2007,Mainline and other services,Number,10537
Passenger Journeys by Rail (Thousand),2007,Dublin suburban services,Number,13880
Passenger Journeys by Rail (Thousand),2007,DART,Number,20244
Passenger Journeys by Rail (Thousand),2007,International journeys,Number,850
Passenger Journeys by Rail (Thousand),2008,All journeys,Number,44647
Passenger Journeys by Rail (Thousand),2008,Mainline and other services,Number,10324
Passenger Journeys by Rail (Thousand),2008,Dublin suburban services,Number,13645
Passenger Journeys by Rail (Thousand),2008,DART,Number,19865
Passenger Journeys by Rail (Thousand),2008,International journeys,Number,813
Passenger Journeys by Rail (Thousand),2009,All journeys,Number,38812
Passenger Journeys by Rail (Thousand),2009,Mainline and other services,Number,8877
Passenger Journeys by Rail (Thousand),2009,Dublin suburban services,Number,11768
Passenger Journeys by Rail (Thousand),2009,DART,Number,17520
Passenger Journeys by Rail (Thousand),2009,International journeys,Number,647
Passenger Journeys by Rail (Thousand),2010,All journeys,Number,38070
Passenger Journeys by Rail (Thousand),2010,Mainline and other services,Number,9697
Passenger Journeys by Rail (Thousand),2010,Dublin suburban services,Number,10861
Passenger Journeys by Rail (Thousand),2010,DART,Number,16793
Passenger Journeys by Rail (Thousand),2010,International journeys,Number,719
Passenger Journeys by Rail (Thousand),2011,All journeys,Number,37222
Passenger Journeys by Rail (Thousand),2011,Mainline and other services,Number,10656
Passenger Journeys by Rail (Thousand),2011,Dublin suburban services,Number,9911
Passenger Journeys by Rail (Thousand),2011,DART,Number,15924
Passenger Journeys by Rail (Thousand),2011,International journeys,Number,731
Passenger Journeys by Rail (Thousand),2012,All journeys,Number,36740
Passenger Journeys by Rail (Thousand),2012,Mainline and other services,Number,8189
Passenger Journeys by Rail (Thousand),2012,Dublin suburban services,Number,12100
Passenger Journeys by Rail (Thousand),2012,DART,Number,15565
Passenger Journeys by Rail (Thousand),2012,International journeys,Number,886
Passenger Journeys by Rail (Thousand),2013,All journeys,Number,36739
Passenger Journeys by Rail (Thousand),2013,Mainline and other services,Number,8144
Passenger Journeys by Rail (Thousand),2013,Dublin suburban services,Number,11730
Passenger Journeys by Rail (Thousand),2013,DART,Number,15985
Passenger Journeys by Rail (Thousand),2013,International journeys,Number,880
Passenger Journeys by Rail (Thousand),2014,All journeys,Number,37804
Passenger Journeys by Rail (Thousand),2014,Mainline and other services,Number,10230
Passenger Journeys by Rail (Thousand),2014,Dublin suburban services,Number,10584
Passenger Journeys by Rail (Thousand),2014,DART,Number,15949
Passenger Journeys by Rail (Thousand),2014,International journeys,Number,1041
Passenger Journeys by Rail (Thousand),2015,All journeys,Number,39660
Passenger Journeys by Rail (Thousand),2015,Mainline and other services,Number,10490
Passenger Journeys by Rail (Thousand),2015,Dublin suburban services,Number,10962
Passenger Journeys by Rail (Thousand),2015,DART,Number,17150
Passenger Journeys by Rail (Thousand),2015,International journeys,Number,1058
Passenger Journeys by Rail (Thousand),2016,All journeys,Number,42815
Passenger Journeys by Rail (Thousand),2016,Mainline and other services,Number,10772
Passenger Journeys by Rail (Thousand),2016,Dublin suburban services,Number,11954
Passenger Journeys by Rail (Thousand),2016,DART,Number,18987
Passenger Journeys by Rail (Thousand),2016,International journeys,Number,1103
Passenger Journeys by Rail (Thousand),2017,All journeys,Number,45505
Passenger Journeys by Rail (Thousand),2017,Mainline and other services,Number,11557
Passenger Journeys by Rail (Thousand),2017,Dublin suburban services,Number,12696
Passenger Journeys by Rail (Thousand),2017,DART,Number,20077
Passenger Journeys by Rail (Thousand),2017,International journeys,Number,1175
Passenger Journeys by Rail (Thousand),2018,All journeys,Number,47960
Passenger Journeys by Rail (Thousand),2018,Mainline and other services,Number,12438
Passenger Journeys by Rail (Thousand),2018,Dublin suburban services,Number,13299
Passenger Journeys by Rail (Thousand),2018,DART,Number,20934
Passenger Journeys by Rail (Thousand),2018,International journeys,Number,1290
Passenger Journeys by Rail (Thousand),2019,All journeys,Number,50060
Passenger Journeys by Rail (Thousand),2019,Mainline and other services,Number,13179
Passenger Journeys by Rail (Thousand),2019,Dublin suburban services,Number,13997
Passenger Journeys by Rail (Thousand),2019,DART,Number,21560
Passenger Journeys by Rail (Thousand),2019,International journeys,Number,1324
Passenger Journeys by Rail (Thousand),2020,All journeys,Number,17930
Passenger Journeys by Rail (Thousand),2020,Mainline and other services,Number,4667
Passenger Journeys by Rail (Thousand),2020,Dublin suburban services,Number,4772
Passenger Journeys by Rail (Thousand),2020,DART,Number,8044
Passenger Journeys by Rail (Thousand),2020,International journeys,Number,448
Passenger Journeys by Rail (Thousand),2021,All journeys,Number,17411
Passenger Journeys by Rail (Thousand),2021,Mainline and other services,Number,5044
Passenger Journeys by Rail (Thousand),2021,Dublin suburban services,Number,3989
Passenger Journeys by Rail (Thousand),2021,DART,Number,7845
Passenger Journeys by Rail (Thousand),2021,International journeys,Number,533
Passenger Journeys by Rail (Thousand),2022,All journeys,Number,35845
Passenger Journeys by Rail (Thousand),2022,Mainline and other services,Number,10338
Passenger Journeys by Rail (Thousand),2022,Dublin suburban services,Number,8740
Passenger Journeys by Rail (Thousand),2022,DART,Number,15930
Passenger Journeys by Rail (Thousand),2022,International journeys,Number,836
