Countrycode,City,Type,Quarter,Variable,Value,Note
112,Minsk city,Metro,3Q2019,Pass,69974,
112,Minsk city,Metro,4Q2019,Pass,78717.9,
112,Minsk city,Metro,1Q2020,Pass,70495.2,
112,Minsk city,Metro,2Q2020,Pass,40748.3,
112,Minsk city,Metro,3Q2020,Pass,53183.1,
112,Minsk city,Metro,4Q2020,Pass,54862.9,
112,Minsk city,Metro,1Q2021,Pass,55460.3,
112,Minsk city,Metro,2Q2021,Pass,56261.3,
112,Minsk city,Metro,3Q2021,Pass,55030.5,
112,Minsk city,Metro,4Q2021,Pass,59515.9,
112,Minsk city,Metro,1Q2019,PKM,591474,
112,Minsk city,Metro,2Q2019,PKM,565857.9,
112,Minsk city,Metro,3Q2019,PKM,558393.3,
112,Minsk city,Metro,4Q2019,PKM,628168.5,
112,Minsk city,Metro,1Q2020,PKM,562552,
112,Minsk city,Metro,2Q2020,PKM,325171.1,
112,Minsk city,Metro,3Q2020,PKM,424400.1,
112,Minsk city,Metro,4Q2020,PKM,437806.1,
112,Minsk city,Metro,1Q2021,PKM,442572.9,
112,Minsk city,Metro,2Q2021,PKM,448965.6,
112,Minsk city,Metro,3Q2021,PKM,439143.3,
112,Minsk city,Metro,4Q2021,PKM,474936.9,
112,Minsk city,Tram,1Q2019,Pass,8403.9,
112,Minsk city,Tram,2Q2019,Pass,7938,
112,Minsk city,Tram,3Q2019,Pass,7915.7,
112,Minsk city,Tram,4Q2019,Pass,8998.6,
112,Minsk city,Tram,1Q2020,Pass,8173.1,
112,Minsk city,Tram,2Q2020,Pass,5064.9,
112,Minsk city,Tram,3Q2020,Pass,6311.8,
112,Minsk city,Tram,4Q2020,Pass,6267.7,
112,Minsk city,Tram,1Q2021,Pass,6216.4,
112,Minsk city,Tram,2Q2021,Pass,6148.7,
112,Minsk city,Tram,3Q2021,Pass,5934.1,
112,Minsk city,Tram,4Q2021,Pass,6326.5,
112,Minsk city,Tram,1Q2019,PKM,39246.2,
112,Minsk city,Tram,2Q2019,PKM,37070.5,
112,Minsk city,Tram,3Q2019,PKM,36966.2,
